Id,Label,Type,Value
1,AMERICAN DEPOSIT AND LOAN CO.,1,19147153.00
2,AMERICAN DOCK AND TRUST CO.,1,19147153.00
3,AMERICAN EXCHANGE NATIONAL BANK,1,46995129.00
4,AMERICAN SAVINGS BANK,1,1826451.00
5,ASTOR NATIONAL BANK,1,5543057.00
6,ATLANTIC TRUST CO.,1,11334546.00
7,BANK FOR SAVINGS IN THE CITY OF NEW YORK,1,75879867.00
8,BANK OF AMERICA,1,27911600.00
9,BANK OF JAMAICA,1,19147153.00
10,BANK OF MONTREAL,1,19147153.00
11,BANK OF NEW YORK,1,48635590.00
12,BANK OF STATEN ISLAND,1,19147153.00
13,BANK OF THE MANHATTAN COMPANY,1,29814700.00
14,BANK OF THE METROPOLIS,1,11677400.00
15,BANK OF WASHINGTON HEIGHTS,1,614900.00
16,BEDFORD BANK,1,19147153.00
17,BOWERY BANK OF NEW YORK,1,3911200.00
18,BOWERY SAVINGS BANK,1,92394521.00
19,BOWLING GREEN TRUST CO.,1,16909332.00
20,BREVOORT SAVINGS BANK,1,1200493.00
21,BROADWAY BANK OF BROOKLYN,1,19147153.00
22,BROADWAY SAVINGS INSTITUTION,1,8328523.00
23,BRONX BOROUGH BANK,1,654200.00
24,BROOKLYN BANK,1,19147153.00
25,BROOKLYN SAVINGS BANK,1,42952883.00
26,BROOKLYN TRUST CO.,1,16961007.00
27,BUSHWICK SAVINGS BANK,1,2823813.00
28,CENTRAL NATIONAL BANK,1,18895637.00
29,CENTRAL REALTY BANK,1,19147153.00
30,CENTRAL TRUST CO.,1,55425268.00
31,CENTURY BANK,1,341200.00
32,CHASE NATIONAL BANK,1,58505226.00
33,CHATHAM NATIONAL BANK,1,8620721.00
34,CHEMICAL NATIONAL BANK,1,35207931.00
35,CITIZENS' SAVING BANK,1,16489929.00
36,CITY SAVINGS BANK OF BROOKLYN,1,1346150.00
37,CITY TRUST CO.,1,16490451.00
38,COLLEGE POINT SAVINGS BANK,1,875903.00
39,COLONIAL BANK,1,2903400.00
40,COLONIAL TRUST CO.,1,21169102.00
41,COLUMBIA BANK,1,4048000.00
42,COMMERCIAL TRUST CO. OF NEW JERSEY,1,19147153.00
43,CONTINENTAL TRUST CO.,1,17353759.00
44,CO-OPERATIVE BUILDING BANK,1,19147153.00
45,CORN EXCHANGE BANK,1,36562700.00
46,CORPORATION TRUST CO. OF DELAWARE,1,19147153.00
47,DIME SAVINGS BANK OF BROOKLYN,1,29982817.00
48,DIME SAVINGS BANK OF WILLIAMSBURGH,1,4948703.00
49,DOLLAR SAVINGS BANK,1,2056064.00
50,DRY LOCK SAVINGS INSTITUTION,1,30965394.00
51,EAST BROOKLYN SAVINGS BANK,1,4409005.00
52,EAST NEW YORK SAVINGS BANK,1,1573189.00
53,EAST RIVER NATIONAL BANK,1,1829704.00
54,EAST RIVER SAVINGS INSTITUTION,1,21686677.00
55,EASTERN DISTRICT SAVINGS BANK,1,1067503.00
56,EIGHTH WARD BANK,1,19147153.00
57,ELEVENTH WARD BANK,1,19147153.00
58,EMIGRANT INDUSTRIAL SAVINGS BANK,1,76176890.00
59,EMPIRE CITY SAVINGS BANK,1,2034469.00
60,EMPIRE STATE BANK,1,19147153.00
61,EXCELSIOR SAVINGS BANK,1,4947195.00
62,FARMERS' LOAN & TRUST CO.,1,53830818.00
63,FIDELITY BANK,1,879500.00
64,FIFTH AVENUE BANK,1,19147153.00
65,FIFTH AVENUE BANK OF NEW YORK,1,12029600.00
66,FIFTH AVENUE TRUST CO.,1,15597193.00
67,FIFTH NATIONAL BANK,1,336513.00
68,FIRST NATIONAL BANK OF BROOKLYN,1,19147153.00
69,FIRST NATIONAL BANK OF HEMPSTEAD,1,19147153.00
70,FIRST NATIONAL BANK OF STATEN ISLAND,1,944445.00
71,FIRST NATIONAL BANK OF THE CITY OF NEW YORK,1,108579794.00
72,FLATBUSH TRUST CO.,1,1567051.00
73,FLUSHING BANK,1,19147153.00
74,FOURTEENTH STREET BANK,1,2354800.00
75,FOURTH NATIONAL BANK,1,38711177.00
76,FRANKLIN SAVINGS BANK,1,13735207.00
77,FRANKLIN TRUST CO.,1,10676531.00
78,GALLATIN NATIONAL BANK,1,18337267.00
79,GANSEVOORT BANK,1,2113500.00
80,GARFIELD NATIONAL BANK,1,10243489.00
81,GERMAN-AMERICAN BANK,1,4798400.00
82,GERMAN EXCHANGE BANK,1,4058300.00
83,GERMAN SAVINGS BANK,1,60366347.00
84,"GERMAN SAVINGS BANK, BROOKLYN",1,7499462.00
85,GERMANIA BANK,1,5772200.00
86,GERMANIA SAVINGS BANK,1,5849905.00
87,GREATER NEW YORK SAVINGS BANK,1,686123.00
88,GREENPOINT SAVINGS BANK,1,4551411.00
89,GREENWICH BANK,1,2391000.00
90,GREENWICH SAVINGS BANK,1,49057101.00
91,GUARANTY TRUST CO. OF NEW YORK,1,37547445.00
92,HAMILTON BANK OF NEW YORK CITY,1,2423400.00
93,HAMILTON TRUST CO.,1,7622928.00
94,HANOVER NATIONAL BANK,1,100334286.00
95,HARLEM SAVINGS BANK,1,12359336.00
96,HIDE AND LEATHER NATIONAL BANK,1,19147153.00
97,HUDSON TRUST CO.,1,19147153.00
98,IMPORTERS' AND TRADERS' NATIONAL BANK,1,31007563.00
99,INSTITUTION FOR THE SAVINGS OF MERCHANTS' CLERKS,1,9772434.00
100,INTERNATIONAL BANKING CORPORATION,1,19147153.00
101,IRVING NATIONAL BANK,1,7933098.00
102,IRVING SAVINGS INSTITUTION,1,18424013.00
103,ITALIAN SAVINGS BANK,1,759575.00
104,JAMAICA SAVINGS BANK,1,2807847.00
105,JEFFERSON BANK,1,2051900.00
106,KINGS COUNTY BANK,1,19147153.00
107,KINGS COUNTY SAVINGS INSTITUTION,1,9574378.00
108,KINGS COUNTY TRUST CO.,1,10419974.00
109,KNICKERBOCKER TRUST CO.,1,36891048.00
110,LEATHER MANUFACTURERS' NATIONAL BANK,1,11014093.00
111,LIBERTY NATIONAL BANK,1,9609670.00
112,LINCOLN NATIONAL BANK OF THE CITY OF NEW YORK,1,14787437.00
113,LONG ISLAND CITY SAVINGS BANK,1,2558694.00
114,LONG ISLAND LOAN AND TRUST CO.,1,9557357.00
115,MANHATTAN SAVINGS INSTITUTION,1,12690347.00
116,MANHATTAN TRUST CO.,1,17076244.00
117,MANUFACTURERS' NATIONAL BANK,1,19147153.00
118,MANUFACTURERS' TRUST CO.,1,8719315.00
119,MARKET AND FULTON NATIONAL BANK,1,10429537.00
120,MECHANICS AND TRADERS' BANK,1,4929400.00
121,MECHANICS' BANK,1,19147153.00
122,MECHANICS' NATIONAL BANK,1,22260530.00
123,MERCANTILE NATIONAL BANK,1,20839345.00
124,MERCANTILE TRUST CO.,1,19147153.00
125,MERCHANTS' BANK OF BROOKLYN,1,19147153.00
126,MERCHANTS' EXCHANGE NATIONAL BANK,1,7368385.00
127,MERCHANTS' NATIONAL BANK,1,25357084.00
128,MERCHANTS' TRUST CO.,1,6712875.00
129,METROPOLITAN SAVINGS BANK,1,12401357.00
130,METROPOLITAN TRUST CO.,1,17744637.00
131,MORTON TRUST CO.,1,58950479.00
132,MOUNT MORRIS BANK,1,3352600.00
133,MUTUAL BANK,1,2670500.00
